Id,City,Name,Address,Coordinates,StateCode
1,Aberdeen,Frank's Pizza,37 W Bel Air Ave,[39.509636] [-76.16463],MD
2,Aberdeen,Pats Pizza,220 S Philadelphia Blvd,[39.50617686] [-76.16617219],MD
3,Abilene,DoubleDaves PizzaWorks,4001 John Knox Dr,[32.403556] [-99.767292],TX
4,Abingdon,Moon Dog Brick Oven,1099 Ole Berry Dr,[36.695998] [-82.008617],VA
5,Abington,Mister P's Pasta and Pizza,1427 Old York Rd,[40.12312479] [-75.11599562],PA
6,Akron,Georgios Pizza,843 West Market St.,[41.097024] [-81.543924],OH
7,Akron,Romeo's Pizza,2283 W Market St,[41.117902] [-81.58839],OH
8,Akron,PizzaFire,22 Exchange St,[41.07621] [-81.521279],OH
9,Akron,Hungry Howie's Pizza,366 Waterloo Rd,[41.028853] [-81.513656],OH
10,Akron,Gionino's Pizzera,3571 Brookwall Dr,[41.13375116] [-81.63874914],OH
11,Alachua,Main Street Pie Company,14933 Main St,[29.792139] [-82.49557078],FL
12,Alameda,Bowzers Pizza,1330 Park St,[37.763389] [-122.243626],CA
13,Alamosa,SLV Pizza Company,1210 8th St,[37.46426] [-105.874387],CO
14,Albany,Sovrana Pizza And Deli,63 N Lake Ave,[42.662894] [-73.772288],NY
15,Albany,Abbys Pizza,3033 Santiam Hwy SE,[44.631099] [-123.067543],OR
16,Albany,Westgate Pizza,911 Central Ave,[42.6815] [-73.7917],NY
17,Albany,I Love New York Pizza of Madison,850 Madison Ave,[42.660664] [-73.782323],NY
18,Albany,Albany Pizza Company,600 San Pablo Ave,[37.895676] [-122.301163],CA
19,Albany,Orchard Tavern,68 N Manning Blvd,[42.67482] [-73.776373],NY
20,Albany,Dino's Pizza,420 Madison Ave,[42.652341] [-73.767453],NY
21,Albany,Spinner's,14 Picotte Dr,[42.65192] [-73.812352],NY
22,Albany,D'Carlitos Pizza,215 Western Ave,[42.662027] [-73.776767],NY
23,Albertson,Vincents Italian Restaurant,1004 Willis Ave,[40.77068239] [-73.64815673],NY
24,Albuquerque,Amore,3600 Cutler Ave NE,[35.08161] [-106.61275],NM
25,Albuquerque,Papa Murphys,2800 Coors Blvd NW,[35.113712] [-106.701264],NM
26,Albuquerque,Scarpas Brick Oven Pizza,5500 Academy Rd NE,[35.146899] [-106.582233],NM
27,Albuquerque,Firenze Pizzeria,900 Park Ave SW,[35.085312] [-106.657548],NM
28,Albuquerque,Dion's Pizza,8100 Wyoming Blvd NE,[35.174781] [-106.557007],NM
29,Aledo,Mr. Jim's Pizza,108 S Ranch House Rd,[32.733936] [-97.633051],TX
30,Alexandria,Wildwood Pizza,1260 Texas Ave Ste H,[31.288586] [-92.47294],LA
31,Alexandria,Papa Johns Pizza,4529 Duke St,[38.812965] [-77.110592],VA
32,Alexandria,Jerrys Sub and Pizza,684 S Pickett St,[38.803901] [-77.133515],VA
33,Alexandria,Pizzaiolo Cafe on Fern,1623 Fern St,[38.829547] [-77.084477],VA
34,Alexandria,Franconia Pizza,6112 Franconia Rd,[38.782273] [-77.147443],VA
35,Alexandria,Juliano's,5950 Richmond Hwy,[38.787815] [-77.067047],VA
36,Alexandria,Lena's Wood-Fire Pizza & Tap,401 E Braddock Rd,[38.81344473] [-77.05597696],VA
37,Alexandria,Flippin' Pizza Annandale,6544 Little River Tpke,[38.82250892] [-77.16075872],VA
38,Allen,Pie Five Pizza Co,190 E Stacy Rd,[33.129217] [-96.656051],TX
39,Allentown,Big Woody's Pizza,702 Hanover Ave,[40.61521] [-75.44467],PA
40,Alliance,Sam & Louie's Pizzeria,1313 W 3rd St,[42.0968] [-102.89],NE
41,Allison Park,Caliente Pizza Hampton,4706 William Flynn Hwy,[40.593927] [-79.947031],PA
42,Alma,Mazzio's Pizza,621 Highway 71 N,[35.4931] [-94.2266],AR
43,Alpharetta,Johnnys Pizza,9950 Jones Bridge Rd,[34.046952] [-84.226745],GA
44,Alpharetta,Rosa's Pizza,11025 Jones Bridge Rd,[34.0497] [-84.2204],GA
45,Alpharetta,Bassano's Pizzeria,10970 State Bridge Rd,[34.04791] [-84.22408],GA
46,Alpharetta,Mama's Pizza,5950 N Point Pkwy,[34.0495304] [-84.28324699],GA
47,Altamonte Springs,Papa Joes,1090 Montgomery Rd,[28.686584] [-81.403849],FL
48,Altamonte Springs,Specialty Pizza Express,1185 Spring Centre South Blvd,[28.687632] [-81.392252],FL
49,Alto,Mike's Pizza & Subs,6785 Whitneyville Ave SE,[42.842372] [-85.459362],MI
50,Altoona,Jethroni Pepperoni,3221 Adventureland Dr,[41.65891] [-93.49731],IA
51,Altoona,Dino's Pizza (2nd Floor),720 Logan Valley Mall,[40.46919938] [-78.41174729],PA
52,Amarillo,Papa John's Pizza,1005 S Georgia St,[35.2043] [-101.8659],TX
53,Ambler,Il Giardino,909 N Bethlehem Pike,[40.181557] [-75.227201],PA
54,Ambler,Domino's Pizza,1115 S Bethlehem Pike,[40.15753] [-75.21401],PA
55,Amelia,LaRosa's Pizzeria,3780 BachBuxton Rd,[39.051409] [-84.24594],OH
56,Americus,Roman Oven Pizzaria,1604 E Forsyth St,[32.072538] [-84.207015],GA
57,Amherst,DTutanellis Pizza,103 Milan Ave,[41.398963] [-82.226948],OH
58,Amityville,Raimos Wood Fired Brick Oven Pizza,45 Merrick Rd,[40.671438] [-73.421956],NY
59,Anaheim,Top Class Pizza,3450 E Orangethorpe Ave,[33.868286] [-117.847213],CA
60,Anaheim,Danos Giant Manhattan Pizza,9844 Katella Ave,[33.801996] [-117.961178],CA
61,Anaheim,Porkys Pizza,8285 E Santa Ana Canyon Rd,[33.867874] [-117.744221],CA
62,Anaheim,Pizza Boy,1177 S State College Blvd,[33.819399] [-117.889665],CA
63,Anchorage,Guidos,549 W Intl Airport Rd,[61.174665] [-149.894053],AK
64,Anderson,Sbarro,3131 N Main St,[34.538975] [-82.66776],SC
65,Anderson,Mancino's,1606 S Scatterfield Rd,[40.100304] [-85.65148],IN
66,Anderson,Tommy J's Pizza Cafe,1000 W 3rd St,[40.11294532] [-85.69191858],IN
67,Andover,5 Pizza,13656 Crosstown Blvd NW,[45.21903] [-93.327688],MN
68,Angola,Hungry Howie's Pizza,1400 N Wayne St,[41.65126] [-84.999515],IN
69,Ann Arbor,Pizza Bob's,814 S State St,[42.2715] [-83.7407],MI
70,Ann Arbor,NYPD New York Pizza Depot,605 E William St,[42.277918] [-83.741812],MI
71,Ann Arbor,Little Caesars Pizza,3000 Packard St,[42.2451] [-83.7001],MI
72,Ann Arbor,Cottage Inn,546 Packard St,[42.272] [-83.7421],MI
73,Annandale,Casa DMama Pizzaria,7406B Little River Tpke,[38.83217] [-77.199933],VA
74,Annapolis,Dimeo's Pizzeria,1901 West St,[38.9798] [-76.5238],MD
75,Antioch,Straw Hat Pizza,3001 Delta Fair Blvd,[37.99891] [-121.838561],CA
76,Apex,Michelangelo's Pizza,928 US 64 Hwy W,[35.74395] [-78.82212],NC
77,Apopka,Anthonys Pizza And Italian Restaurant,1539 Rock Springs Rd,[28.706351] [-81.508151],FL
78,Appleton,Papa John's Pizza,4055 E Calumet St,[44.2432] [-88.345],WI
79,Appleton,Frank's Pizza Palace,816 W College Ave,[44.261847] [-88.418477],WI
80,Arcadia,Alex DiPeppes,140-142 Las Tunas Dr,[34.107567] [-118.036182],CA
81,Ardmore,Ardmore Pizza,10 Rittenhouse Pl,[40.00662] [-75.2895],PA
82,Ardmore,Bella Italia Pizzeria,12 E Lancaster Ave,[40.007348] [-75.290395],PA
83,Arlington,Italy Pizza Pasta Subs,2221 Browning Dr,[32.707464] [-97.085036],TX
84,Arlington,Pupatella Neapolitan Pizza,5104 Wilson Blvd,[38.877608] [-77.122194],VA
85,Arlington,Ninos Pasta Pizza,2800 Forestwood Dr,[32.785203] [-97.065359],TX
86,Arlington,Goodys,3125 Wilson Blvd,[38.887211] [-77.095515],VA
87,Arlington,Pizza Autentica,2450 Crystal Dr,[38.851841] [-77.049902],VA
88,Arlington,Pie-Tanza,2503 N Harrison St,[38.897379] [-77.139212],VA
89,Arlington,Piola,1550 Wilson Blvd,[38.89418] [-77.076237],VA
90,Arlington Heights,Armand's Pizzeria,70 N Vail Ave,[42.083411] [-87.984153],IL
91,Armonk,Amore Pizzeria & Pasta,575 Main St,[41.13186316] [-73.71264857],NY
92,Artesia,Julio's Pizza,11651 Artesia Blvd,[33.873432] [-118.08536],CA
93,Ashland,Pepicellis,208 S Washington Hwy,[37.755605] [-77.471636],VA
94,Ashland,Standing Stone Brewing Company,101 Oak St,[42.197621] [-122.714487],OR
95,Ashland,Dor Lo Pizza,1211 Orange Rd,[40.8786] [-82.3124],OH
96,Astoria,Grand Avenue Pizza,3424 30th Ave,[40.765323] [-73.918233],NY
97,Astoria,Salerno Pizza,29-24 30th Ave,[40.767368] [-73.922714],NY
98,Astoria,One Stop Pizza,2815 36th Ave,[40.757476] [-73.931586],NY
99,Astoria,Piazza Pizza,3106 42nd St,[40.760503] [-73.915634],NY
100,Astoria,Michael Angelo's Pizza,2911 23rd Ave,[40.77499] [-73.91327],NY
101,Athens,Peppinos Pizza,190 E Whitehall Rd.,[33.898491] [-83.365457],GA
102,Athens,Papa John's Pizza,1860 Barnett Shoals Rd,[33.924903] [-83.339783],GA
103,Atlanta,Rays New York Pizza,26 5th St NW,[33.776749] [-84.388042],GA
104,Atlanta,Buckhead Pizza Co,1 Galleria Pkwy SE,[33.883979] [-84.466753],GA
105,Atlanta,Johnnys Pizza Cascade,5495 Cascade Rd SW,[33.731675] [-84.567002],GA
106,Atlanta,Fellini's Pizza,909 Ponce De Leon Ave Ne,[33.773654] [-84.357596],GA
107,Atlanta,Sarpino's Pizzeria,1000 Northside Dr NW,[33.781799] [-84.407868],GA
108,Atlanta,Johnny's Pizza,834 Virginia Ave,[33.659073] [-84.416482],GA
109,Atlanta,Papa John's Pizza,8725 Roswell Rd,[33.995873] [-84.349807],GA
110,Atlanta,Jagger's,1799 Briarcliff Rd NE,[33.804337] [-84.337758],GA
111,Atlanta,Papa John's Pizza,10 Northside Dr NW,[33.75483] [-84.403227],GA
112,Atlanta,Vintage Pizzeria,5434 Peachtree Rd,[33.89318] [-84.29999],GA
113,Atlanta,Spin,259 Peters St SW,[33.74759] [-84.40173],GA
114,Auburn,Old Town Pizza,150 Sacramento Street,[38.89504] [-121.07837],CA
115,Auburn,Pizza Forum,215 Main Street,[41.366126] [-85.05581],IN
116,Auburndale,Papa John's Pizza,2010 Us Hwy 92W,[28.05852885] [-81.81299702],FL
117,Augusta,Marco's Pizza,229 Furys Ferry Rd,[33.51778] [-82.05932],GA
118,Aurora,Lubos New York Pizza,15352 E Ida Dr Unit H,[39.611572] [-104.809421],CO
119,Aurora,Amatos Pizza More,3150 N Aurora Rd,[41.782082] [-88.238535],IL
120,Aurora,Domino's Pizza,9 N Elmwood Dr,[41.7627] [-88.3398],IL
121,Aurora,Spizzico To Go,33 N Lake St,[41.760166] [-88.317748],IL
122,Aurora,Angelo's Pizzeria & Restaurant,324 Aurora Commons Cir,[41.316] [-81.3577],OH
123,Aurora,Papa Severio's Pizzeria,1480 N Orchard Rd,[41.78612314] [-88.37618748],IL
124,Aurora,Papa Murphy's,15440 E Hampden Ave,[39.65299] [-104.80809],CO
125,Aurora,Papa John's Pizza,2150 W Galena Blvd,[41.764308] [-88.369725],IL
126,Austin,Mangieris Pizza Cafe,2133 Lohmans Crossing Rd,[30.34222] [-97.969935],TX
127,Austin,360 UNO,3801 N Capital of Texas Hwy,[30.336736] [-97.803884],TX
128,Austin,Saccones Pizza and Subs,11416 N FM 620 Ste N,[30.453421] [-97.828495],TX
129,Austin,Brooklyn Pie Co,8127 Mesa Dr Ste B202,[30.372875] [-97.755813],TX
130,Austin,Conans Pizza South,2018 W Stassney Ln,[30.216245] [-97.798303],TX
131,Austin,Spartan Pizza,1104 E 6th St,[30.26492] [-97.73102],TX
132,Austin,Papa Murphy's,12407 N Mo Pac Expy,[30.416873] [-97.704935],TX
133,Austin,DoubleDave's Pizza Works,3421 W William Cannon Dr,[30.212961] [-97.82944],TX
134,Austin,Gatti's Pizza,2121 W Parmer Ln,[30.415855] [-97.697148],TX
135,Austin,Austin Terrier,3435 Greystone Dr,[30.357106] [-97.74863],TX
136,Austin,Brooklyn Pie Co.,8127 Mesa Dr,[30.372586] [-97.755766],TX
137,Austin,Onion,116 W 5th St,[30.267373] [-97.743406],TX
138,Austin,Reale's Pizza Cafe,13450 N Highway 183,[30.446587] [-97.791014],TX
139,Austin,Southside Flying Pizza,2702 E Cesar Chavez St,[30.253574] [-97.713899],TX
140,Austin,Papa John's Pizza,411 W Martin Luther King Jr Blvd,[30.2814] [-97.7421],TX
141,Austin,Conans Pizza North,2438 W Anderson Ln,[30.3571937] [-97.73145676],TX
142,Austin,Gatti's Pizza,2410 E Riverside Dr,[30.2363] [-97.7249],TX
143,Austin,East Side Pies,5312 Airport Blvd Ste G,[30.31478] [-97.71514],TX
144,Austin,Milano Pizza,1025 W Stassney Ln,[30.210287] [-97.786645],TX
145,Avon,Pizza Land,19 Park Pl,[42.9112] [-77.7458],NY
146,Avondale,Palermos Pizza 2,1579 W McDowell Rd,[33.463851] [-112.338715],AZ
147,Avondale,Bravos Pizza of Avondale,817 Gap Newport Pike,[39.835408] [-75.797744],PA
148,Babylon,Mulberry Street,30 E Main St,[40.696366] [-73.322425],NY
149,Babylon,Domino's Pizza,9 Cooper St,[40.697452] [-73.319066],NY
150,Bakersfield,Little Caesars Pizza,3550 Stine Rd,[35.317431] [-119.051791],CA
151,Bakersfield,Round Table Pizza,4200 Gosford Rd,[35.31707] [-119.09156],CA
152,Bakerstown,Olive Peppers,6052 William Flynn Hwy,[40.660149] [-79.93373],PA
153,Baldwin Place,Peppinos,80 Route 6,[41.344698] [-73.75576],NY
154,Baldwinsville,Pizza Man Pub,50 Oswego St,[43.15897383] [-76.33266642],NY
155,Ballwin,Pizzarelli's,15858 Manchester Rd,[38.592536] [-90.585904],MO
156,Baltimore,Spartan Pizzeria,3600 Eastern Ave,[39.28663] [-76.566984],MD
157,Baltimore,Joe Squared Pizza Bar,33 W North Ave,[39.310817] [-76.618073],MD
158,Baltimore,Fortunato Brothers,6374 York Rd,[39.373004] [-76.610682],MD
159,Baltimore,Matthews Pizza,3131 Eastern Ave,[39.286423] [-76.571858],MD
160,Baltimore,Pub Dog Pizza Drafthouse,20 E Cross St,[39.276985] [-76.613502],MD
161,Baltimore,Ultimate Pizza,29 E Cross St,[39.276922] [-76.613533],MD
162,Baltimore,Oriole Pizza Subs,1305 N Charles St,[39.305015] [-76.616173],MD
163,Baltimore,Nino Pizza,4 E Preston St,[39.30451699] [-76.61592292],MD
164,Baltimore,Pizza Boli's,300 W 29th St,[39.32223] [-76.62254],MD
165,Bartlesville,Mazzio's Pizza,511 SE Washington Blvd,[36.749304] [-95.935558],OK
166,Bartow,Palace Pizza Bartow,105 E Main St,[27.89632517] [-81.84310734],FL
167,Battle Creek,Mancinos Pizza Grinders,1791 Columbia Ave W,[42.2968] [-85.234726],MI
168,Bay Shore,Joe's Pasta & Pizza,73 Howells Rd,[40.73] [-73.2603],NY
169,Bayport,Satellite Pizza,799 Montauk Hwy,[40.7472] [-73.052],NY
170,Bayside,Jacks Pizzeria,212-49 26th Ave,[40.779292] [-73.777343],NY
171,Bayside,Vi Pizza,4302 Bell Blvd,[40.761232] [-73.770025],NY
172,Beaufort,The Upper Crust,97 Sea Island Pkwy,[32.417544] [-80.656294],SC
173,Beaumont,Mazzios Pizza,5025 Eastex Fwy,[30.121609] [-94.150623],TX
174,Beaverton,Papa Murphy's - Murray Blvd,6111 SW Murray Blvd,[45.475564] [-122.826997],OR
175,Beaverton,Hart Road Pizza & Pub,16300 SW Hart Rd,[45.46506766] [-122.8451883],OR
176,Belle Vernon,Jakes Pizza Rostraver,1745 Rostraver Rd,[40.179843] [-79.805566],PA
177,Belleview,Belleview Pizza,5428 SE Abshier Blvd,[29.059934] [-82.058825],FL
178,Belleville,Papa Vitos Pizza,318 E Washington St,[38.51237] [-89.979237],IL
179,Bellevue,Papa Murphy's Pizza,1500 145th PL SE,[47.596796] [-122.149314],WA
180,Bellmore,Umbertos,208 Bedford Ave,[40.670287] [-73.527813],NY
181,Belmont,Toto's Pizzeria & Restaurant,1250 El Camino Real,[37.51868606] [-122.2742969],CA
182,Bend,Olde Towne Pizza,118 NW Greenwood Ave,[44.0601] [-121.3092],OR
183,Bensalem,Allstar Pizza,2345 Street Rd,[40.105094] [-74.94951],PA
184,Bensalem,Champs Pizza,1336 Bristol Pike Ste A5,[40.07436] [-74.967444],PA
185,Bensenville,Mama Maria's Pizzeria,438 S York Rd,[41.946328] [-87.940039],IL
186,Benton,U.S. Pizza Co.,3600 Highway 5,[34.597916] [-92.60228],AR
187,Bentonville,Gusano's Pizza,2905 S Walton Blvd,[36.341499] [-94.209849],AR
188,Berkeley,La Vals,1834 Euclid Ave,[37.875496] [-122.260345],CA
189,Berkeley,West Coast Pizza,1706 University Ave,[37.870827] [-122.277229],CA
190,Berkeley,Seniore's Pizza,2518 Durant Ave,[37.867867] [-122.258576],CA
191,Berkeley,Red Tomato,2017 University Ave,[37.872097] [-122.270149],CA
192,Berkley,UNCLE Andy's Pizza,28957 Woodward Ave,[42.50285] [-83.17263],MI
193,Berwyn,Villa Nova Pizza,6821 Pershing Rd,[41.82121009] [-87.79370886],IL
194,Berwyn,Papa John's Pizza,6628 Cermak Rd,[41.85072] [-87.78993],IL
195,Bethel,Rizzuto's Wood-Fired Pizza Kitchen & Bar,6 Stony Hill Rd,[41.41741] [-73.39989],CT
196,Bethlehem,Pomodoro's Pizza,253 E Broad St,[40.6223] [-75.3712],PA
197,Bethlehem,Mario's Pizza Cafe,3620 Route 378,[40.58204] [-75.38794],PA
198,Bethlehem,Martellucci's Pizzeria,1419 Easton Ave,[40.63235421] [-75.36828965],PA
199,Bethpage,Ginos Tuscany Restaurant And Pizzeria,3968 Hempstead Tpke,[40.72123] [-73.489028],NY
200,Bettendorf,Crust Stone Oven Pizza,2561 53rd Ave,[41.574694] [-90.496681],IA
201,Bettendorf,Sports Fans,1723 Grant St,[41.526104] [-90.507784],IA
202,Beverly Hills,Marchello's,214 S Robertson Blvd,[34.064467] [-118.383511],CA
203,Biloxi,Sal & Mookie's New York Style Pizza & Ice Cream Joint,110 Lameuse St,[30.3938] [-88.8867],MS
204,Biloxi,Pizza Hut,1698 Pass Rd,[30.403128] [-88.938323],MS
205,Birmingham,Tortugas,2801 John Hopkins Pkwy (Hwy 150),[33.365096] [-86.82419],AL
206,Birmingham,Amici's,1160 Grant St,[42.53845] [-83.20988],MI
207,Black Mountain,My Father's Pizza,110 Cherry St,[35.61666607] [-82.32092707],NC
208,Blackstone,Brothers Pizza,301 N Main St,[37.083103] [-77.99637243],VA
209,Bloomingdale,Cugini's Pizza,360 W Schick Rd,[41.95297] [-88.109796],IL
210,Bloomington,Avantis,3302 E Empire St,[40.48873] [-88.908855],IL
211,Bloomington,Aver's Pizza North/campus,1837 N Kinser Pike,[39.1873] [-86.5377],IN
212,Bloomington,Papa John's Pizza,5221 W State Hwy 46,[39.1667] [-86.4604],IN
213,Bloomington,Bucceto's Smiling Teeth – East,115 S State Road 46,[39.16566407] [-86.4985664],IN
214,Bloomsburg,Naps Pizza,319 East St,[41.003441] [-76.451352],PA
215,Boca Raton,California Pizza Kitchen,6000 Glades Rd,[26.368129] [-80.134717],FL
216,Boca Raton,Dominic's 1 Pizza & Pasta,8177 Glades Rd,[26.36916678] [-80.17265455],FL
217,Boca Raton,Grande Pizza Company,6006 SW 18th St,[26.33146074] [-80.13732433],FL
218,Boise,Proto's Pizza,345 S 8th St,[43.6138] [-116.2055],ID
219,Boise,Idaho Pizza Company,4218 W Overland Rd,[43.589757] [-116.234494],ID
220,Boone,Capones Pizza and Bar,454 W King St,[36.21728] [-81.680947],NC
221,Bothell,The Rock Wood Fired Pizza,1918 201st Pl SE,[47.814792] [-122.207248],WA
222,Bothell,Elliott Bay Pizza & Pub,800 164th St SE,[47.849423] [-122.220494],WA
223,Boulder,Cosmos Pizza,1325 Broadway,[40.01007] [-105.277021],CO
224,Boulder,Papa Murphy's,3325 28th St,[40.035269] [-105.259768],CO
225,Boulder,Pizzeria Da Lupo,2525 Arapahoe Ave,[40.016945] [-105.261669],CO
