Id,State,PostalCode,Categories,PriceRangeMax
1,AK,99518,Pizza Place,25
2,AK,99701,"Pizza,Take Out Restaurants,Pizza Place,Restaurants",25
3,AK,99645,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",25
4,AL,35244,Pizza Place,40
5,AL,35071,Pizza Place,25
6,AL,36801,Pizza Place,25
7,AR,72120,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",25
8,AR,72032,Pizza Place,25
9,AR,72701,"Pizza,Restaurant,Karaoke,Pizza Place,Restaurants",25
10,AR,72921,"Restaurant,Pizza Place,Restaurants",25
11,AR,72120,"Pizza,Pizza Place,Restaurants",25
12,AR,72632,"Bar,Pizza Place",25
13,AR,72211,"Pizza,Pizza Place,Restaurants",25
14,AR,72761,Pizza Place,25
15,AR,72712,"Restaurant,Pizza Place",40
16,AR,72764,"Restaurant,Pizza Place",25
17,AR,72019,"Pizza Place,Restaurants,Pizza",25
18,AR,72901,"Pizza Place,Bar,Pizza Place and Bar",25
19,AR,72113,"Pizza Place,Restaurant",25
20,AZ,85012,"Pizza,Pizza Place,Restaurants",25
21,AZ,85710,Pizza Place,40
22,AZ,85308,"Pizza,Restaurant,Fast Food,Pizza Place",25
23,AZ,85253,"Pizza Place,Pizza Place Resort Corridor",40
24,AZ,85027,"Pizza,Italian restaurants,Pizza Place,Restaurants",25
25,AZ,85268,"Restaurant,Pizza Place",25
26,AZ,85281,"Indian Restaurant,Pizza Place",40
27,AZ,85208,"Buffet,Pizza Place",25
28,AZ,85225,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",25
29,AZ,85392,Pizza Place,25
30,AZ,85306,"Pizza,Take Out Restaurants,Pizza Place,Restaurants",25
31,AZ,86336,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",25
32,AZ,86336,"Pizza Place,Restaurants",25
33,AZ,85234,Pizza Place,25
34,AZ,85295,"Pizza,Restaurant,Italian,Pizza Place,Restaurants",40
35,AZ,85206,Pizza Place,40
36,AZ,86047,"Restaurant,Pizza Place",25
37,AZ,85378,Pizza Place,25
38,AZ,85037,"Restaurant,Pizza Place",25
39,AZ,85139,Pizza Place,25
40,AZ,85383,"Pizza,Restaurant,Pizza Place Deer Valley,Pizza Place,Restaurants",25
41,AZ,85541,"Pizza Place,Restaurants",25
42,AZ,85345,Pizza Place,25
43,AZ,85705,"Pizza,Restaurant,Pizza Place,Catering,Restaurants",40
44,AZ,85233,Pizza Place,25
45,AZ,85296,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",40
46,AZ,85335,"Pizza,Restaurant,Pizza Place,Restaurants,Italian Restaurants",25
47,AZ,85345,"Restaurant,Pizza Place",40
48,AZ,85254,"Restaurant,Pizza Place",25
49,AZ,85206,"Pizza,Restaurant,Italian,Pizza Place Superstition Springs,Pizza Place,Restaurants",25
50,AZ,85020,"Italian Restaurant,Pizza Place",25
51,AZ,85208,"Pizza,Restaurant,Pizza Place",40
52,AZ,85210,"Pizza,Restaurant,Italian,Pizza Place",40
53,AZ,85205,"Restaurant,Pizza Place",25
54,AZ,85705,"Restaurant,Pizza Place",25
55,AZ,85012,"Restaurant,Italian Restaurant,Pizza Place and Italian Restaurant,Pizza Place",40
56,AZ,85250,"Pizza,Restaurant,Italian,Pizza Place",40
57,AZ,85308,"Pizza,Restaurant,Pizza Place",25
58,AZ,85340,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",25
59,AZ,85249,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",25
60,AZ,85213,"Restaurant,Pizza Place",25
61,AZ,85719,"Restaurant,Pizza Place",40
62,AZ,85021,"Pizza,Restaurant,Pizza Place,Restaurants,Italian Restaurants",25
63,AZ,85254,"Restaurant,Pizza Place",25
64,AZ,85215,"Restaurant,Pizza Place",25
65,AZ,85260,"Restaurant,Pizza Place",25
66,AZ,85050,"Restaurant,Pizza Place",25
67,AZ,85254,"Pizza,Restaurant,Pizza Place",40
68,AZ,85085,"Restaurant,Pizza Restaurants,Pizza Place,Italian Restaurants",25
69,AZ,85383,"Restaurant,Pizza Place",25
70,AZ,86351,"Pizza,Food and Beverage,Pizza Place",25
71,AZ,85022,"Pizza,Restaurant,Chain Restaurant,Pizza Place",25
72,AZ,85236,"Restaurant,Pizza Place",25
73,AZ,85255,Pizza Place,25
74,AZ,86001,"Restaurant,Pizza Place",25
75,AZ,85282,"Italian Restaurant,Pizza Place and Italian Restaurant,Pizza Place",25
76,AZ,85308,Pizza Place,40
77,AZ,85304,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",25
78,AZ,85209,"Pizza Place,Caterers,Restaurants,Italian Restaurants,Pizza",25
79,AZ,85207,Pizza Place,25
80,AZ,85022,"Pizza Place,Restaurants",40
81,AZ,85028,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",40
82,AZ,85202,"Pizza Place,Mexican Restaurant",25
83,AZ,85224,Pizza Place,25
84,AZ,85306,"Pizza Place,Restaurant,Pizza,Chain Restaurant",40
85,AZ,85743,Pizza Place,25
86,AZ,85719,"Pizza,Restaurants,Pizza Place",40
87,AZ,85382,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",55
88,AZ,85225,"Pizza Place,Caterers,Restaurants,Pizza",40
89,AZ,85308,"Pizza Place,Brewery,American Restaurant,Restaurant,Pizza",40
90,CA,94709,Pizza Place,25
91,CA,91741,"Pizza,Restaurant,Pizza Place",25
92,CA,95035,"Pizza,Restaurant,Karaoke,Pizza Place,Restaurants",25
93,CA,91205,Pizza Place,25
94,CA,92508,"Pizza,Italian Restaurant,Restaurant,Pizza Place,Restaurants",25
95,CA,91007,Pizza Place,25
96,CA,94501,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",25
97,CA,90245,"Restaurant,Pizza Place",40
98,CA,92677,"Pizza,Restaurant,Pizza Place,Restaurants",25
99,CA,94114,"Restaurant,Pizza Place",40
100,CA,95608,"Restaurant,Pizza Place",25
101,CA,94509,"Restaurant,Pizza Place",25
102,CA,92107,"Brewery,Pizza Place",40
103,CA,92683,Pizza Place,25
104,CA,90039,Pizza Place,25
105,CA,92507,"Italian Restaurant,Pizza Place",40
106,CA,92832,"Pizza,Restaurant,Italian,Pizza Place",25
107,CA,91024,Pizza Place,25
108,CA,94619,"Pizza,Restaurant,Indian,Pizza Place,Restaurants",25
109,CA,90014,"Restaurant,Pizza Restaurants,Pizza Place,Restaurants",25
110,CA,92707,"Pizza,Restaurant,Pizza Place",25
111,CA,93033,Pizza Place,25
112,CA,94066,"Pizza Place,Catering,Restaurants",40
113,CA,92543,Pizza Place,25
114,CA,93117,Pizza Place,25
115,CA,92107,Pizza Place,25
116,CA,96150,"Pizza,Restaurant,Pizza Place",25
117,CA,92260,Pizza Place,25
118,CA,90277,"Pizza,Restaurant,Pizza Place South Redondo Beach,Pizza Place",25
119,CA,91344,"Pizza Place,Pizza Place Granada Hills South",25
120,CA,94954,Pizza Place,25
